167

1,1.5,1
2,1.6,0
3,1.2,1
4,1.6,1
5,1.3,1
6,1.8,1
7,1.3,1
8,1.6,0
9,1.3,1
10,1.8,1
11,1.3,1
12,1.11,1
13,1.4,0
14,1.9,1
15,1.7,1
16,1.4,1
17,1.9,0
18,1.5,1
19,1.9,1
20,1.5,0
21,1.3,1
22,1.5,1
23,1.7,1
24,1.8,1
25,1.5,1

1,2.1,1
2,2.6,1
3,2.6,1
4,2.9,1
5,2.7,1
6,2.7,1
7,2.7,1
8,2.1,1
9,2.6,1
10,2.7,0
11,2.6,1
12,2.6,1
13,2.10,1
14,2.12,1
15,2.5,1
16,2.6,1
17,2.9,1
18,2.10,1
19,2.6,1
20,2.6,1
21,2.9,1
22,2.5,1
23,2.6,0
24,2.5,0

1,1.6,1
2,1.3,1
3,1.3,1
4,1.5,1
5,1.6,1
6,1.3,1
7,1.8,1
8,1.7,1
9,1.2,1
10,1.3,1
11,1.5,1
12,1.2,1
13,1.5,1
14,1.9,0
15,1.11,1
16,1.4,1
17,1.8,1
18,1.1,1
19,1.11,1
20,1.5,1
21,1.6,0
22,1.8,1
23,1.5,1
24,1.7,1
25,1.3,1
26,1.4,1

1,3.1,0
2,3.4,1
3,3.5,1
4,3.5,1
5,3.3,1
6,3.3,1
7,3.1,1
8,3.5,0
9,3.4,1
10,3.5,1
11,3.3,0
12,3.5,1
13,3.1,1
14,3.1,1
15,3.5,0
16,3.4,1
17,3.6,1
18,3.1,1
19,3.2,1
20,3.3,1
21,3.1,1
22,3.4,0
23,3.6,1
24,3.1,1
25,3.5,1
26,3.1,1
