163

1,1.1,1
2,1.10,1
3,1.11,1
4,1.4,1
5,1.5,0
6,1.3,1
7,1.11,1
8,1.8,0
9,1.8,1
10,1.5,1
11,1.10,1
12,1.7,1
13,1.2,1
14,1.9,0
15,1.12,1
16,1.4,1
17,1.3,0
18,1.8,1
19,1.11,1
20,1.3,1
21,1.8,1
22,1.7,1
23,1.8,1
24,1.9,1
25,1.6,0
26,1.5,0

1,2.7,0
2,2.9,1
3,2.5,1
4,2.12,1
5,2.6,1
6,2.5,1
7,2.12,1
8,2.6,0
9,2.6,0
10,2.9,0
11,2.9,1
12,2.10,1
13,2.10,1
14,2.6,1
15,2.9,0
16,2.9,0
17,2.9,1
18,2.12,1
19,2.1,1
20,2.6,1
21,2.12,0
22,2.12,0
23,2.12,1
24,2.9,0

1,3.1,1
2,3.4,1
3,3.2,1
4,3.2,0
5,3.4,0
6,3.5,1
7,3.3,0
8,3.1,1
9,3.4,1
10,3.5,1
11,3.4,0
12,3.5,1
13,3.5,0
14,3.3,1
15,3.1,1
16,3.4,1
17,3.4,1
18,3.5,1
19,3.5,1
20,3.5,1
21,3.1,1
22,3.1,1
23,3.4,1
24,3.5,1
25,3.3,1
26,3.3,1

1,1.3,1
2,1.6,1
3,1.3,1
4,1.8,1
5,1.4,1
6,1.1,1
7,1.9,1
8,1.5,1
9,1.4,1
10,1.9,1
11,1.11,1
12,1.9,0
13,1.5,1
14,1.8,0
15,1.3,0
16,1.11,1
17,1.3,1
18,1.4,1
19,1.5,1
20,1.2,0
21,1.3,1
22,1.3,1
23,1.7,1
24,1.9,1
25,1.1,1
